name,id
Матюшин М.В.,5c48b6b072ebd144ef45ccfb
Келин П.И.,5c48b6dc72ebd144ef45db3a
Захаров Ф.И.,5c48b6c572ebd144ef45d3a0
Абрахам Хендрикс ван Бейерен,5c48b6ae72ebd144ef45cc53
Булганин В.Ф.,5c48b6d272ebd144ef45d805
Чехонадский В.М.,5c48b6d272ebd144ef45d819
Пустовойтов С.И.,5c48b6d272ebd144ef45d7fd
Ерышев Ю.И.,5c48b6d272ebd144ef45d81d
Сахарова В.С.,5c48b6d272ebd144ef45d825
Голицын Н.Б.,5c48b66c72ebd144ef45b82b
Черниенко Г.А.,5c48b6ad72ebd144ef45cbf3
Годфрид Схалкен,5c48b68f72ebd144ef45c204
Франс ван Мирис-старший,5c48b69172ebd144ef45c258
Себастьян Вранкс,5c48b6b472ebd144ef45ce5f
Утагава Хиросигэ I,5c48b6d972ebd144ef45da24
Никольский А.С.,5c48b6b572ebd144ef45ce7c
Фриц Таулов,5c48b67e72ebd144ef45bceb
Тициан Вечеллио,5c48b6cb72ebd144ef45d5bb
Михил ван Мюсхер,5c48b69172ebd144ef45c26e
Кокурин В.Г.,5c48b6ad72ebd144ef45cbba
Каллимах,5c48b6b172ebd144ef45cd15
Голиков В.В.,5c48b66e72ebd144ef45b8b8
Глобина В.Ф.,5c48b66e72ebd144ef45b8d1
Гландин А.Л.,5c48b66f72ebd144ef45b90c
Франс Ленбах,5c48b6b172ebd144ef45cd58
Самюэль Диркс Ван Хогстратен,5c48b6b172ebd144ef45cd50
Алессандро Маньяско,5c48b6b172ebd144ef45cd35
Романович С.М.,5c48b68572ebd144ef45be61
Киселева Е.А.,5c48b68472ebd144ef45be1b
Шубин Ф.И.,5c48b67772ebd144ef45bb82
Леон Наган,5c48b6cc72ebd144ef45d605
Мартынов Д.Н.,5c48b6cd72ebd144ef45d67f
Ермолин Р.Н.,5c48b6c772ebd144ef45d439
Энди Уорхол,5c4a2777f1aa5824b14b79b0
Хендрик Тербрюгген,5c48b69172ebd144ef45c248
Грибков С.И.,5c48b6b572ebd144ef45ceab
Говерт Флинк,5c48b69172ebd144ef45c25d
Амбруаз Тардье,5c48b66b72ebd144ef45b7fc
Сапрыкин В.И.,5c48b6a072ebd144ef45c791
Редько К.Н.,5c48b69372ebd144ef45c2d3
Роберто Мессина,5c48b6b572ebd144ef45ce8e
Хуго Хуперт,5c48b6b572ebd144ef45ce9b
Фет А.А.,5c48b69872ebd144ef45c474
Шарль Мари де ла Кондамин,5c48b67772ebd144ef45bb72
Элен Эттинген,5c48b6c272ebd144ef45d2b0
Эльза Триоле,5c48b6b572ebd144ef45ce9f
Юкин В.Я.,5c48b6c872ebd144ef45d4b3
Хохлова О.С.,5c48b6cf72ebd144ef45d6d7
Нийота Тун,5c48b6b572ebd144ef45ce85
Питер де Молейн,5c48b6cd72ebd144ef45d661
Мокров Н.А.,5c48b6c872ebd144ef45d4b8
Трауберг Л.,5c48b6c372ebd144ef45d32e
Мастин Н.И.,5c48b6bc72ebd144ef45d094
Луис Тристан,5c48b6cc72ebd144ef45d649
Альма-Тадема Лоуренс,5c48b68572ebd144ef45be7b
Луис де Моралес,5c48b6cc72ebd144ef45d64d
Жан-Мари Гюстав Ле Клезио,5c48b69a72ebd144ef45c53f
Лангсдор Г.И.,5c48b67772ebd144ef45bb65
Ганс Крэмер,5c48b6db72ebd144ef45dae1
Крузенштерн И.Ф.,5c48b67672ebd144ef45bb31
Мишель Коломб,5c48b6b072ebd144ef45ccd1
Клейн Р.И.,5c48b66772ebd144ef45b700
Карпов Б.Н.,5c48b6aa72ebd144ef45caab
Лушина О.П.,5c48b68772ebd144ef45bf21
Ляхманов И.И.,5c48b68772ebd144ef45bf19
Рябов В.,5c48b68772ebd144ef45bf11
Иоганн Теодор Лингке,5c48b67572ebd144ef45bab0
Калликрат Иктин,5c48b6af72ebd144ef45ccb4
Мельников Д.,5c48b68072ebd144ef45bd40
Изаак ван Дюйнен,5c48b6a672ebd144ef45c994
Марсель Жулиан,5c48b69a72ebd144ef45c51f
Жозе-Мариа де Эредиа,5c48b69e72ebd144ef45c6c3
Габриэль-Франсуа Дуайен,5c48b6bc72ebd144ef45d09c
Элизабет Джордж,5c48b69972ebd144ef45c4f7
Джордано Лука,5c48b6b072ebd144ef45ccd5
Филлис Дороти Джеймс,5c48b69a72ebd144ef45c52f
Джованни Баттиста Пьяццетта,5c48b6b772ebd144ef45cf0e
Джованни Баттиста Тьеполо,5c48b6b772ebd144ef45cf12
Адольф Жан Даньян-Бувре Паскаль,5c48b68572ebd144ef45bea8
Давыдов Г.И.,5c48b67672ebd144ef45bb2d
Жан Гужон,5c48b6b072ebd144ef45cccd
Ив Готье,5c48b69d72ebd144ef45c69b
Филипп Готтенрот,5c48b6da72ebd144ef45da48
Николя-Жозеф Вуайе,5c4a2774f1aa5824b14b78ca
Андреа Верроккио,5c48b6af72ebd144ef45cc9d
Герман Вейс,5c48b6db72ebd144ef45dadd
Вейнбаум А.А.,5c48b6ac72ebd144ef45cb8d
Волков Р.М.,5c48b69472ebd144ef45c319
Валентин Вайгель,5c48b69972ebd144ef45c4ff
Бурлюк Д.Д.,5c48b69d72ebd144ef45c67b
Питер Брейгель,5c48b6b372ebd144ef45cde1
Джон Мозес Браунинг,5c48b6b972ebd144ef45d011
Карл Фридрих Вильгельм Борк,5c48b66c72ebd144ef45b82f
Болдакова В.,5c48b67572ebd144ef45baa4
Чжоу Фан,5c48b6cb72ebd144ef45d5fc
Жан Батист Изабе,5c48b6a672ebd144ef45c9a4
Осваль Ахенбах,5c48b6c572ebd144ef45d3b6
Антон Йозеф Трчка,5c48b68072ebd144ef45bd3b
Джованни Баттиста Фальда,5c4a2773f1aa5824b14b78c6
Андронов А.Ф.,5c48b6ca72ebd144ef45d570
Андриянов И.А.,5c48b67772ebd144ef45bb6e
Пелевин И.А.,5c48b69b72ebd144ef45c59c
Хвольсон А.Б.,5c48b6c772ebd144ef45d45e
Зеленова В.,5c48b67472ebd144ef45ba94
Ананьев М.А.,5c48b66f72ebd144ef45b92d
Америго Веспуччи,5c48b67772ebd144ef45bb7e
Амедео Модильяни,5c48b6c172ebd144ef45d277
Макс Жакоб,5c48b6c172ebd144ef45d28e
Джакомо да Кастелло,5c48b6b772ebd144ef45cf4a
Аксельрод М.М.,5c48b6dc72ebd144ef45db07
